Crater ,Diameter (m),Diameter error,Depth (m),Depth error,d/D,Depth variation,Slope (degrees),Slope variation,Wall width (m),Base diameter (m),Long.,Lat.,S-C,"Fresh
crater",Area
1,16405,541.00,1983,91.17,0.12,291.35,20.5,9.89,3787,8830,147.8,9.2,c,x,4
2,34825,640.47,2585,55.22,0.07,300.40,15.4,9.04,8131,18562,149.8,8.1,c,x,4
3,19753,276.17,2184,70.38,0.11,227.00,14.6,7.19,5540,8674,151.4,10.6,c,x,4
4,14353,419.97,1246,84.89,0.09,353.27,13.1,5.67,3666,7021,148.6,12.3,c,,4
5,33187,1523.36,3335,57.09,0.10,389.20,19.6,11.30,7934,17319,150.8,3.7,c,x,4
6,12786,336.64,1843,107.12,0.14,261.47,22.5,10.62,3366,6054,147.9,5.1,c,x,4
7,11690,258.15,2441,114.63,0.21,359.94,26.8,12.26,3158,5374,146.3,2.6,s,,4
8,9295,234.23,1751,138.26,0.19,243.84,24.4,11.36,2854,3586,146.4,1.8,s,,4
9,13870,261.92,963,91.39,0.07,169.87,11.9,5.54,3262,7346,151.2,8.6,c,x,4
10,29107,716.29,2591,58.57,0.09,607.70,12.2,9.16,7423,14262,153.7,8.4,c,x,4
11,22140,564.05,2162,76.23,0.10,513.99,14.1,8.21,5166,11808,155.1,8.4,c,x,4
12,11121,329.19,1668,126.83,0.15,185.56,18.5,10.00,3376,4369,144.5,8.8,c,x,4
13,14126,261.74,1813,91.76,0.13,102.50,20.1,9.93,3214,7699,145.5,14.6,c,x,4
14,9703,201.49,1071,130.39,0.11,237.33,17.7,8.73,2439,4826,144.0,10.1,c,x,4
15,20862,455.29,1274,70.74,0.06,145.81,12.2,7.28,4686,11491,118.7,14.3,c,x,3
16,37252,735.65,2162,45.94,0.06,177.21,14.2,9.74,7208,22836,115.6,15.9,c,x,3
17,20800,358.10,1502,73.24,0.07,176.61,15.4,8.64,4187,12426,112.1,16.8,c,x,3
18,28961,316.33,2189,53.14,0.08,473.05,11.2,6.60,7410,14142,97.8,6.3,c,x,3
19,30960,581.05,2359,56.57,0.08,424.64,12.6,6.83,7588,15785,96.7,4.8,c,x,3
20,30198,764.30,2981,57.17,0.10,414.81,19.2,10.34,7901,14397,155.6,-11.9,c,x,5
21,28047,310.47,3018,54.76,0.11,259.12,18.1,9.12,8358,11330,159.0,-9.3,c,x,5
22,23943,639.60,2048,55.88,0.09,252.59,14.1,7.29,6161,11621,109.5,11.8,c,x,3
23,23898,411.03,1724,66.94,0.07,206.92,12.1,6.13,5887,12124,138.7,20.2,c,x,1
24,10952,125.27,1016,108.98,0.09,124.17,13.7,5.58,3045,4863,136.7,20.5,s,x,1
25,6588,111.72,843,163.77,0.13,108.11,15.6,6.21,1943,2703,140.2,20.5,s,x,1
26,10983,355.63,1525,121.29,0.14,115.25,17.3,7.45,3275,4434,138.3,18.9,s,x,1
27,11961,304.35,1379,106.16,0.12,85.48,16.7,7.85,3203,5555,140.1,17.4,c,x,1
28,9623,210.14,1258,126.97,0.13,213.31,17.4,6.49,2889,3844,144.3,20.1,s,x,1
29,12374,270.24,937,96.88,0.08,147.20,11.3,5.22,2926,6521,143.5,23.3,c,x,1
30,8307,239.77,921,147.55,0.11,117.82,15.2,6.75,2252,3803,145.8,18.9,s,x,1
31,35847,909.52,2303,50.12,0.06,210.03,13.2,6.33,7057,21732,132.2,20.3,c,x,1
32,17806,323.97,1322,72.81,0.07,149.33,12.5,5.50,4056,9694,130.9,28.4,c,x,1
33,6083,92.97,584,189.01,0.10,79.43,12.5,3.91,1698,2688,136.6,22.1,s,x,1
34,17570,259.79,1608,76.63,0.09,236.21,13.9,6.59,4573,8423,147.1,19.4,c,x,1
35,7643,194.36,777,152.72,0.10,271.43,14.5,4.65,1798,4048,145.6,17.5,s,x,1
36,16177,467.93,1200,88.45,0.07,219.07,13.1,7.29,3826,8524,140.8,30.9,c,x,1
37,14739,304.20,1198,81.51,0.08,105.82,10.4,6.53,4622,5494,126.5,28.1,c,x,1
38,21192,650.36,1928,71.62,0.09,156.57,13.6,6.34,5833,9525,133.3,24.2,c,x,1
39,12109,280.52,1254,90.89,0.10,160.97,14.2,6.18,3768,4572,139.2,24.1,s,x,1
40,29454,603.89,1316,52.92,0.04,123.30,9.7,5.61,6483,16488,136.0,29.0,c,x,1
41,11529,243.63,1333,107.66,0.12,256.11,15.4,6.30,3121,5286,140.3,26.2,s,x,1
42,17264,460.87,1233,80.63,0.07,236.62,11.4,6.18,4362,8540,121.0,32.1,c,x,1
43,26626,851.90,1477,54.89,0.06,254.88,11.8,7.31,6198,14229,100.5,26.5,c,x,2
44,20850,595.84,1749,79.99,0.08,179.89,12.1,7.11,6115,8621,100.2,23.0,c,x,3
45,15580,298.88,825,85.29,0.05,154.38,8.1,4.40,3728,8124,98.4,22.4,c,x,3
46,8661,243.14,570,132.50,0.07,181.64,9.0,3.14,2642,3376,101.7,18.5,s,x,3
47,21020,643.90,1011,73.03,0.05,151.57,7.6,3.52,5867,9286,89.7,20.5,c,,3
48,18512,470.80,702,75.41,0.04,178.67,6.6,3.72,4897,8718,90.0,22.4,c,,3
49,10993,173.96,780,117.40,0.07,192.47,10.9,4.78,2917,5159,101.9,16.1,s,x,3
50,24052,654.13,1669,60.69,0.07,172.83,13.3,8.22,7130,9792,137.6,5.1,c,x,4
51,14830,387.82,1800,91.93,0.12,221.61,19.2,9.74,3756,7318,142.7,4.1,c,x,4
52,18915,472.70,1318,74.31,0.07,109.69,12.7,8.18,4099,10716,131.2,7.9,c,x,4
53,13386,346.90,2055,101.97,0.15,204.51,21.9,11.81,3401,6585,135.4,9.0,c,x,4
54,8632,229.17,1178,150.82,0.14,162.28,20.0,9.14,2255,4122,133.9,9.7,s,,4
55,7244,220.54,1006,149.99,0.14,138.00,18.3,7.94,1901,3443,142.9,2.6,s,,4
56,14393,355.88,2048,81.70,0.14,308.47,23.0,10.74,4495,5403,145.2,-5.9,c,x,5
57,13177,329.49,1717,101.36,0.13,326.74,20.3,10.33,3372,6434,151.6,-7.8,c,x,5
58,16342,517.74,2626,74.92,0.16,511.58,24.4,10.36,4188,7965,144.4,-10.0,c,x,5
59,10496,409.58,1319,165.57,0.13,322.72,20.2,9.23,2674,5148,152.4,-11.3,c,x,5
60,10737,233.00,2025,119.99,0.19,282.02,23.5,11.47,3138,4460,145.4,-2.5,s,,5
61,6652,139.90,1157,168.54,0.17,244.29,27.7,11.14,1431,3789,142.9,-0.6,s,x,5
62,13045,317.46,1973,105.82,0.15,233.22,23.0,11.37,3384,6278,145.6,0.9,c,x,5
63,24481,499.23,1690,78.95,0.07,395.81,13.1,5.92,6587,11308,140.0,-14.2,c,x,5
64,44857,988.35,3061,43.40,0.07,361.01,13.2,7.68,12082,20693,139.0,-6.4,c,x,5
65,11386,326.04,1520,137.88,0.13,178.81,19.4,9.79,2282,6822,148.1,-10.9,c,x,5
66,14178,328.54,1733,98.56,0.12,349.67,18.8,11.86,3183,7811,139.3,-2.2,c,x,5
67,12862,347.46,1967,106.67,0.15,488.59,23.4,11.95,3507,5848,155.0,-1.3,c,x,5
68,6193,221.73,952,208.10,0.15,186.76,18.8,10.66,1739,2714,154.7,-0.7,s,x,5
69,34412,646.64,2360,57.13,0.07,293.18,13.4,7.41,7739,18933,157.8,4.8,c,x,4
70,12415,230.34,1032,104.87,0.08,323.91,12.2,5.55,2985,6445,160.8,2.6,c,,4
71,8984,233.14,1391,124.89,0.15,98.85,17.0,8.64,3039,2906,137.7,16.5,s,,4
72,24134,342.50,1716,65.66,0.07,267.71,15.5,7.84,4847,14439,141.6,16.0,c,x,4
73,28690,355.82,1655,57.68,0.06,189.99,11.6,7.44,6535,15620,135.1,16.5,c,x,4
74,8653,313.95,614,155.31,0.07,203.80,10.9,4.52,2377,3899,148.1,15.8,s,x,4
75,14599,319.64,1675,87.73,0.11,218.45,17.6,8.28,3468,7663,144.4,26.9,c,x,1
76,12925,311.66,933,91.85,0.07,147.09,12.8,7.44,2662,7602,122.8,35.7,c,x,1
77,12593,335.96,908,87.24,0.07,120.20,11.7,5.31,2978,6638,129.3,35.0,c,x,1
78,29608,638.31,1910,54.29,0.06,433.10,11.0,6.99,7342,14924,146.1,37.7,c,x,1
79,20779,757.39,1116,73.01,0.05,138.25,10.7,6.37,5207,10366,128.5,36.5,c,x,1
80,10359,307.42,660,116.31,0.06,135.79,10.9,5.75,2853,4654,127.1,36.1,s,,1
81,30959,715.05,902,65.42,0.03,156.58,6.9,5.15,7744,15471,109.2,35.7,c,,2
82,22132,396.60,806,69.67,0.04,123.57,6.3,3.76,5831,10469,106.6,36.7,c,,2
83,20886,531.24,892,68.69,0.04,188.56,7.1,4.51,6765,7356,111.9,38.7,c,,2
84,15755,328.28,453,73.05,0.03,91.48,4.2,2.50,4388,6979,89.0,40.3,c,,2
85,18017,774.89,1248,74.71,0.07,195.82,11.7,6.89,4859,8298,138.4,39.8,c,x,1
86,13133,319.39,1095,94.80,0.08,171.47,12.4,5.99,3394,6345,140.2,40.9,c,,1
87,8074,192.86,703,115.76,0.09,106.73,11.1,5.19,2104,3866,136.2,42.4,s,x,1
88,12756,132.68,662,90.79,0.05,201.92,11.3,5.56,4342,4073,124.4,44.6,s,,1
89,36276,840.67,2453,46.10,0.07,371.64,11.4,6.53,9908,16460,135.0,47.3,c,x,1
90,12816,354.98,1293,88.10,0.10,186.78,13.8,7.68,3550,5716,138.5,47.3,c,x,1
91,22403,777.80,1364,65.78,0.06,250.29,10.5,6.14,6177,10049,138.3,49.1,c,x,1
92,17184,372.76,1422,68.84,0.08,358.70,11.4,5.94,4429,8326,140.0,55.8,c,x,1
93,11675,320.97,1175,101.40,0.10,170.05,15.2,7.49,3111,5452,144.3,38.6,c,x,1
94,12417,365.86,1057,128.21,0.09,190.91,13.4,6.21,3061,6295,132.3,38.7,c,x,1
95,7225,110.45,758,124.91,0.10,104.62,13.1,5.91,1811,3603,136.1,43.0,s,x,1
96,11135,382.11,883,109.15,0.08,137.79,9.5,5.12,3288,4560,139.9,51.2,s,,1
97,15612,650.60,1167,89.38,0.07,271.17,12.2,6.29,4628,6356,134.3,52.7,c,x,1
98,18881,471.80,1567,71.29,0.08,188.45,12.5,7.87,5915,7051,173.0,52.4,c,,1
99,13588,474.67,1067,83.16,0.08,282.12,12.4,7.54,3246,7096,176.5,51.3,c,,1
100,18432,745.83,1857,72.48,0.10,523.73,12.7,7.15,4973,8486,179.3,50.8,c,x,1
101,17518,449.21,1447,66.59,0.08,292.51,11.5,5.93,5338,6843,180.0,52.2,c,,1
102,19611,458.17,1634,66.15,0.08,382.44,13.0,8.25,4966,9679,161.3,50.7,c,x,1
103,33963,640.06,1807,54.32,0.05,341.80,11.2,7.04,9273,15416,152.5,48.0,c,x,1
104,40192,1251.83,2001,48.12,0.05,720.31,12.1,8.04,8735,22722,151.8,44.2,c,x,1
105,32435,813.35,1880,55.68,0.06,780.82,11.7,7.68,7675,17085,161.7,44.8,c,x,1
106,11043,269.11,1164,130.90,0.11,300.82,14.5,7.16,2938,5166,162.8,49.9,c,x,1
107,16029,681.00,1488,75.08,0.09,272.29,11.9,6.68,5043,5943,167.8,54.8,c,x,1
108,10723,195.47,1133,107.85,0.11,344.57,15.4,9.16,2715,5292,150.6,43.1,c,x,1
109,12729,284.35,844,89.68,0.07,176.60,11.8,7.57,2680,7369,146.2,29.3,c,x,1
110,11015,368.15,800,130.28,0.07,182.49,12.9,6.89,2421,6172,141.5,30.2,s,,1
111,13591,474.73,992,89.27,0.07,174.42,11.4,6.28,3832,5926,145.4,31.7,c,x,1
112,9208,352.72,748,127.66,0.08,237.90,12.4,6.32,2398,4412,146.2,30.8,s,,1
113,10013,683.10,1100,128.70,0.11,138.42,12.9,5.60,3104,3806,142.9,27.0,s,x,1
114,10290,275.91,513,138.87,0.05,151.54,9.5,5.75,2299,5691,151.6,19.0,s,,1
115,31177,447.45,2174,55.58,0.07,449.86,12.0,6.97,8255,14668,106.7,9.0,c,x,3
116,8888,107.98,813,117.93,0.09,154.50,15.4,5.95,1889,5111,155.1,6.5,s,x,4
117,16293,290.01,1122,72.21,0.07,222.51,9.6,5.28,3751,8792,101.1,50.0,c,x,2
118,24398,1016.26,839,61.39,0.03,116.69,5.1,2.61,7098,10202,85.7,47.2,c,,2
119,11986,124.76,434,101.45,0.04,133.38,5.7,2.61,3399,5188,91.2,37.1,s,x,2
120,20112,463.79,1091,77.35,0.05,194.40,8.4,4.46,5437,9238,97.1,38.1,c,x,2
121,34766,819.00,1792,52.99,0.05,167.64,9.4,5.27,7091,20584,95.9,35.8,c,x,2
122,24949,418.53,1229,57.74,0.05,164.09,8.7,4.46,6340,12269,95.0,32.7,c,x,2
123,19162,541.66,978,67.87,0.05,110.52,7.6,3.30,4759,9644,98.3,32.9,c,,2
124,15158,538.76,386,83.81,0.03,77.70,3.9,1.67,4204,6750,98.1,30.7,c,,2
125,52486,1175.18,1953,40.28,0.04,280.28,10.2,6.53,8750,34985,94.6,27.9,c,x,2
126,10820,501.92,390,120.80,0.04,124.09,5.3,2.81,2833,5154,97.7,24.3,s,,3
127,13325,402.92,937,98.42,0.07,236.89,13.3,7.68,3071,7183,107.1,19.6,c,x,3
128,9347,404.32,968,136.81,0.10,151.08,14.0,7.16,2699,3950,121.9,18.5,s,x,1
129,13462,542.23,903,143.43,0.07,150.08,13.0,7.25,2837,7789,122.8,15.3,c,x,4
130,13745,107.05,967,81.93,0.07,302.01,11.8,5.62,3212,7320,130.1,20.9,c,x,1
131,43102,995.09,2368,49.74,0.05,475.79,13.5,6.48,7685,27732,150.6,15.3,c,x,4
132,8586,110.83,1329,126.85,0.15,163.54,22.5,7.00,2021,4543,148.7,15.4,s,,4
133,14972,449.24,928,105.28,0.06,319.97,10.9,5.22,3616,7740,147.2,16.8,c,,4
134,12469,104.71,944,97.79,0.08,168.87,12.1,5.22,2673,7124,140.1,16.4,c,,4
135,13821,220.43,961,92.68,0.07,138.72,13.0,7.06,2905,8010,137.7,15.7,c,x,4
136,10757,435.71,586,122.02,0.05,77.98,8.1,3.98,3097,4563,134.3,15.3,s,,4
137,12667,430.22,1221,119.45,0.10,199.03,15.9,8.47,3308,6051,133.0,14.4,c,x,4
138,9523,123.05,984,129.65,0.10,174.96,17.9,7.80,2117,5288,141.0,13.4,s,x,4
139,21074,466.94,1160,78.08,0.06,170.88,11.7,7.42,5931,9212,128.6,14.1,c,x,4
140,18773,330.81,1323,84.05,0.07,283.21,12.6,8.22,4939,8895,127.7,14.7,c,,4
141,9688,140.94,1023,122.37,0.11,191.82,18.0,7.55,2203,5282,127.0,13.2,s,x,4
142,11354,320.56,1057,127.90,0.09,210.06,11.1,5.78,3594,4166,106.8,11.6,s,x,3
143,19582,570.34,1503,72.87,0.08,404.41,12.3,6.28,5524,8534,111.3,11.6,c,x,3
144,19342,362.73,790,74.85,0.04,164.74,7.3,4.82,4896,9549,124.3,9.3,c,,4
145,11198,340.75,1113,125.45,0.10,346.90,15.6,5.85,2844,5510,120.4,7.3,c,x,4
146,18616,419.36,1660,77.33,0.09,185.29,14.5,6.18,4827,8961,116.6,7.9,c,x,3
147,10091,150.78,729,122.45,0.07,214.04,14.1,6.11,1923,6246,153.3,12.7,s,,4
148,45789,309.91,2950,69.45,0.06,368.32,11.1,6.87,12347,21095,104.0,-13.8,c,x,3
149,42355,310.15,2432,69.52,0.06,520.52,10.9,5.99,10918,20518,107.3,-10.4,c,x,3
150,31604,1066.86,1894,54.76,0.06,232.81,12.3,5.78,9444,12717,116.7,-7.7,c,x,3
151,42545,1226.90,2481,49.68,0.06,525.04,11.4,5.58,12037,18471,121.9,-9.8,c,x,5
152,49572,735.27,3269,43.21,0.07,291.72,12.3,7.01,14586,20399,132.9,-10.8,c,x,5
153,59414,1758.99,2882,43.63,0.05,366.01,11.4,6.49,15917,27581,135.3,-11.0,c,x,5
154,13892,600.56,1629,89.79,0.12,379.41,16.5,7.03,4145,5601,136.5,-29.5,s,x,5
155,15269,396.08,1519,84.30,0.10,285.96,16.6,7.69,3852,7565,136.6,-24.2,c,x,5
156,53326,1773.98,4318,45.81,0.08,467.20,14.6,7.89,14225,24876,133.4,-35.0,c,x,5
157,23046,493.49,2897,74.19,0.13,289.35,18.1,8.36,6130,10787,140.6,-25.6,c,x,5
158,25895,544.82,2917,64.30,0.11,412.40,19.2,8.92,6486,12923,138.9,-19.0,c,x,5
159,14451,385.01,1873,117.51,0.13,355.54,20.7,8.12,3315,7822,146.4,-17.8,c,x,5
160,47201,915.52,3298,46.16,0.07,453.21,17.0,9.19,15410,16381,157.9,-13.1,c,x,5
161,14365,532.67,1637,83.81,0.11,440.48,14.7,8.30,4377,5611,166.7,48.6,c,x,1
162,12447,453.63,1271,87.86,0.10,224.44,13.4,6.78,3351,5745,165.6,51.3,c,x,1
163,13759,604.79,1247,73.71,0.09,316.35,11.6,5.86,3665,6429,163.1,62.3,c,x,1
164,17562,507.64,1448,72.24,0.08,177.23,12.2,7.00,4900,7762,155.6,55.1,c,,1
165,10610,276.82,1257,104.06,0.12,160.31,16.3,9.20,2500,5611,149.3,37.3,s,x,1
166,31583,584.01,1828,52.49,0.06,507.79,8.8,4.94,9432,12720,147.8,21.2,c,x,1
167,22588,647.27,1605,61.90,0.07,184.12,11.7,7.09,5940,10707,127.5,50.0,c,x,1
168,9870,336.27,940,107.54,0.10,266.81,10.7,4.81,2577,4716,132.0,50.9,s,x,1
169,19106,481.77,1861,81.23,0.10,258.60,15.5,9.13,5396,8313,164.4,-7.6,c,x,5
170,12564,523.89,1101,111.65,0.09,181.11,13.3,6.16,3312,5941,162.2,-5.4,c,,5
171,15859,699.55,2084,92.59,0.13,336.82,18.1,8.83,4541,6778,149.3,-30.0,s,x,5
172,9344,468.86,1036,142.84,0.11,297.70,20.4,10.47,2386,4572,155.0,-9.9,c,x,5
173,5333,99.11,865,196.40,0.16,94.32,20.6,10.30,1551,2230,162.0,-10.0,s,,5
174,13409,450.16,1338,89.01,0.10,227.84,14.2,8.02,3544,6320,135.1,1.5,c,,4
175,12838,363.74,1515,96.97,0.12,337.85,18.1,5.67,3343,6152,141.3,-6.0,s,x,5
176,17140,481.29,1408,84.32,0.08,334.03,14.2,7.22,5392,6356,137.6,-7.3,c,,5
177,12229,475.03,1821,126.99,0.15,525.16,22.3,10.45,3236,5756,149.9,-10.5,c,x,5
178,11171,452.00,965,117.54,0.09,186.82,14.8,6.72,2690,5791,162.9,-2.0,c,x,5
179,6357,128.65,748,180.83,0.12,148.56,17.6,9.80,1778,2800,143.5,-2.9,s,,5
180,34715,535.85,1777,53.94,0.05,334.53,10.0,7.32,7776,19163,97.1,12.0,c,,3
181,28153,501.09,1145,55.81,0.04,213.26,7.1,5.02,6556,15041,95.2,11.1,c,,3
182,17187,338.71,1255,79.94,0.07,221.34,11.6,6.32,4418,8352,95.5,9.3,c,,3
183,31766,1035.83,1815,59.14,0.06,419.43,11.1,6.65,8651,14464,118.4,5.9,c,,3
184,33561,650.79,2468,51.18,0.07,355.28,13.8,6.52,8891,15779,131.6,2.3,c,x,4
185,19120,719.31,1540,78.26,0.08,316.44,12.8,6.77,5305,8509,106.1,3.9,c,x,3
186,14338,742.28,558,94.95,0.04,59.17,5.3,2.48,4689,4961,104.2,35.2,c,,2
187,14784,479.18,1007,86.72,0.07,336.31,12.1,7.18,4117,6550,113.6,30.0,c,x,2
188,14938,615.38,649,81.50,0.04,229.84,8.2,6.61,4186,6565,110.3,32.5,c,,2
189,17848,795.94,1461,87.55,0.08,245.24,12.6,6.01,4948,7951,124.5,-4.4,c,x,5
190,28441,847.34,2740,58.39,0.10,333.99,17.7,7.60,6664,15113,140.8,-18.0,c,x,5
191,28528,713.31,3044,59.79,0.11,622.72,18.0,7.87,7857,12813,145.8,-14.2,c,x,5
192,12816,357.71,1176,89.95,0.09,242.60,13.6,5.17,3661,5493,102.7,-1.9,s,,3
193,12182,426.38,812,92.64,0.07,107.45,11.7,6.41,3138,5906,122.8,32.9,c,,1
194,30300,746.19,1679,54.37,0.06,319.61,8.8,4.72,8180,13939,134.3,28.5,c,x,1
195,22145,279.94,2010,80.24,0.09,589.39,15.0,6.66,5802,10540,143.3,25.7,c,x,1
196,49474,950.64,3855,45.64,0.08,465.20,10.4,5.59,16369,16736,154.9,10.4,c,x,4
197,20908,412.82,1118,73.91,0.05,211.31,10.6,5.66,4543,11821,127.6,19.2,c,x,1
198,17967,530.82,1363,82.53,0.08,258.53,15.8,9.01,4680,8608,143.2,8.4,c,,4
199,8439,304.90,606,131.29,0.07,219.68,10.6,5.73,2256,3927,142.9,47.4,s,,1
200,7493,159.35,702,151.28,0.09,134.34,14.5,5.69,1790,3914,159.1,4.9,s,,4
201,49726,643.18,1766,44.02,0.04,280.99,8.0,4.67,11803,26119,130.6,21.9,c,,1
202,16944,313.20,1284,74.36,0.08,133.25,12.5,6.48,4822,7301,131.9,25.9,c,x,1
203,6847,269.00,758,175.03,0.11,121.38,14.5,4.60,1897,3053,128.0,25.3,s,x,1
204,5888,198.57,986,206.38,0.17,129.30,20.9,7.88,1520,2849,139.2,6.6,s,,4
205,20930,276.99,1728,73.69,0.08,444.18,14.3,8.71,5963,9005,117.4,-28.7,c,x,3
206,9724,196.01,940,175.02,0.10,347.17,16.6,5.59,2187,5349,115.2,10.1,s,x,3
207,13815,328.37,2124,87.77,0.15,340.39,22.0,9.45,3336,7144,146.1,-20.7,c,x,5
208,29497,1365.85,3128,66.90,0.11,219.68,16.0,8.02,8305,12887,129.9,-31.7,c,x,5
209,13934,490.69,1810,127.33,0.13,435.65,19.2,7.76,4461,5013,131.4,-19.7,s,x,5
210,14194,135.32,1467,85.74,0.10,255.98,16.2,5.64,4057,6079,138.0,-4.1,c,,5
211,22293,676.81,953,110.38,0.04,339.99,12.1,9.71,4839,12615,109.3,13.6,c,,3
212,14104,140.97,1513,86.22,0.11,232.82,16.7,7.52,3555,6994,123.3,4.0,c,x,4
213,5992,137.68,941,236.21,0.16,346.71,19.8,7.58,1773,2447,121.9,4.5,s,,4
214,60739,915.53,2695,41.73,0.04,352.61,9.9,5.43,17894,24952,114.1,-4.3,c,x,3
215,6082,107.05,878,187.65,0.14,309.25,19.1,5.97,1628,2825,144.9,-11.8,s,x,5
216,22755,309.91,2061,69.45,0.09,398.24,14.1,5.48,5531,11694,128.4,-9.4,c,x,5
217,12226,309.95,599,118.20,0.05,157.91,9.4,4.53,3113,6000,108.3,47.5,s,x,2
218,6085,227.82,664,147.70,0.11,222.33,12.5,4.67,1544,2996,151.4,49.4,s,x,1
219,10073,357.35,445,120.22,0.04,169.69,6.4,2.71,3402,3268,101.8,44.8,s,x,2
220,8165,404.45,923,119.78,0.11,236.77,13.0,7.65,2507,3150,136.3,48.7,s,x,1
221,7644,237.20,788,137.98,0.10,97.85,13.5,6.36,1760,4124,146.9,43.5,s,x,1
222,8319,233.44,546,167.29,0.07,194.48,10.0,6.47,2194,3930,113.5,6.1,s,x,3
223,10739,258.40,407,105.51,0.04,109.51,5.1,2.47,2966,4806,98.4,36.1,s,x,2
224,10568,139.57,662,107.39,0.06,104.15,8.8,2.31,3054,4459,107.1,-16.8,s,x,3
225,9481,98.13,730,117.46,0.08,144.68,10.7,3.63,2907,3667,102.0,2.4,s,x,3
226,7913,128.20,822,149.08,0.10,151.65,13.3,4.77,2417,3079,126.5,-4.1,s,x,5
227,10877,435.15,767,122.12,0.07,132.40,10.7,4.43,3157,4562,117.5,-24.7,s,x,3
228,9384,399.05,1362,129.26,0.15,210.89,19.6,6.77,2837,3711,139.9,-20.8,s,x,5
229,12089,465.28,974,107.98,0.08,307.27,13.0,4.59,3462,5164,107.6,-2.8,s,x,3
230,8662,161.67,757,131.72,0.09,305.10,12.2,5.21,2611,3441,114.2,-6.4,s,x,3
231,9198,211.77,1087,126.21,0.12,251.40,15.7,6.22,2781,3635,123.2,-1.4,s,x,5
232,9305,295.47,518,133.55,0.06,146.49,7.8,2.56,2716,3873,100.9,19.2,s,x,3
233,6913,266.05,420,164.48,0.06,176.27,7.7,3.23,1876,3162,102.7,18.7,s,x,3
234,6617,243.99,244,196.45,0.04,109.96,5.9,2.23,1678,3262,103.0,20.7,s,x,3
235,8954,258.85,603,135.10,0.07,162.31,7.6,3.26,2702,3551,95.2,23.5,s,x,3
236,10403,387.92,639,134.03,0.06,89.06,9.1,3.55,2901,4601,101.8,21.0,s,x,3
237,10424,391.23,814,118.75,0.08,120.21,9.4,4.42,2927,4570,101.1,5.5,s,x,3